Abkhazia Sukhumi
Afghanistan Kabul
Akrotiri_and_Dhekelia Episkopi_Cantonment
Albania Tirana
Algeria Algiers
American_Samoa Pago_Pago
Andorra Andorra_la_Vella
Angola Luanda
Anguilla The_Valley
Antigua_and_Barbuda St._John's
Argentina Buenos_Aires
Armenia Yerevan
Aruba Oranjestad
Ascension_Island Georgetown
Australia Canberra
Austria Vienna
Azerbaijan Baku
Bahamas Nassau
Bahrain Manama
Bangladesh Dhaka
Barbados Bridgetown
Belarus Minsk
Belgium Brussels
Belize Belmopan
Benin Porto-Novo
Bermuda Hamilton
Bhutan Thimphu
Bolivia Sucre
Bolivia La_Paz
Bosnia_and_Herzegovina Sarajevo
Botswana Gaborone
Brazil Brasília
British_Virgin_Islands Road_Town
Brunei Bandar_Seri_Begawan
Bulgaria Sofia
Burkina_Faso Ouagadougou
Burundi Bujumbura
Cambodia Phnom_Penh
Cameroon Yaoundé
Canada Ottawa
Cape_Verde Praia
Cayman_Islands George_Town
Central_African_Republic Bangui
Chad N'Djamena
Chile Santiago
China Beijing
Christmas_Island Flying_Fish_Cove
Cocos_(Keeling)_Islands West_Island
Colombia Bogotá
Comoros Moroni
Cook_Islands Avarua
Costa_Rica San_José
Croatia Zagreb
Cuba Havana
Curaçao Willemstad
Cyprus Nicosia
Czech_Republic Prague
Côte_d'Ivoire Yamoussoukro
Democratic_Republic_of_the_Congo Kinshasa
Denmark Copenhagen
Djibouti Djibouti
Dominica Roseau
Dominican_Republic Santo_Domingo
East_Timor_(Timor-Leste) Dili
Easter_Island Hanga_Roa
Ecuador Quito
Egypt Cairo
El_Salvador San_Salvador
Equatorial_Guinea Malabo
Eritrea Asmara
Estonia Tallinn
Ethiopia Addis_Ababa
Falkland_Islands Stanley
Faroe_Islands Tórshavn
Federated_States_of_Micronesia Palikir
Fiji Suva
Finland Helsinki
France Paris
French_Guiana Cayenne
French_Polynesia Papeete
Gabon Libreville
Gambia Banjul
Georgia Tbilisi
Germany Berlin
Ghana Accra
Gibraltar Gibraltar
Greece Athens
Greenland Nuuk
Grenada St._George's
Guam Hagåtña
Guatemala Guatemala_City
Guernsey St._Peter_Port
Guinea Conakry
Guinea-Bissau Bissau
Guyana Georgetown
Haiti Port-au-Prince
Honduras Tegucigalpa
Hungary Budapest
Iceland Reykjavík
India New_Delhi
Indonesia Jakarta
Iran Tehran
Iraq Baghdad
Ireland Dublin
Isle_of_Man Douglas
Israel Jerusalem
Italy Rome
Jamaica Kingston
Japan Tokyo
Jersey St._Helier
Jordan Amman
Kazakhstan Astana
Kenya Nairobi
Kiribati Tarawa
Kosovo Pristina
Kuwait Kuwait_City
Kyrgyzstan Bishkek
Laos Vientiane
Latvia Riga
Lebanon Beirut
Lesotho Maseru
Liberia Monrovia
Libya Tripoli
Liechtenstein Vaduz
Lithuania Vilnius
Luxembourg Luxembourg
Macedonia Skopje
Madagascar Antananarivo
Malawi Lilongwe
Malaysia Kuala_Lumpur
Maldives Malé
Mali Bamako
Malta Valletta
Marshall_Islands Majuro
Mauritania Nouakchott
Mauritius Port_Louis
Mexico Mexico_City
Moldova Chisinau
Monaco Monaco
Mongolia Ulaanbaatar
Montenegro Podgorica
Montserrat Plymouth
Morocco Rabat
Mozambique Maputo
Myanmar Naypyidaw
Nagorno-Karabakh_Republic Stepanakert
Namibia Windhoek
Nauru Yaren
Nepal Kathmandu
Netherlands Amsterdam
New_Caledonia Nouméa
New_Zealand Wellington
Nicaragua Managua
Niger Niamey
Nigeria Abuja
Niue Alofi
Norfolk_Island Kingston
North_Korea Pyongyang
Northern_Cyprus Nicosia
United_Kingdom_Northern_Ireland Belfast
Northern_Mariana_Islands Saipan
Norway Oslo
Oman Muscat
Pakistan Islamabad
Palau Ngerulmud
Palestine Jerusalem
Panama Panama_City
Papua_New_Guinea Port_Moresby
Paraguay Asunción
Peru Lima
Philippines Manila
Pitcairn_Islands Adamstown
Poland Warsaw
Portugal Lisbon
Puerto_Rico San_Juan
Qatar Doha
Republic_of_China_(Taiwan) Taipei
Republic_of_the_Congo Brazzaville
Romania Bucharest
Russia Moscow
Rwanda Kigali
Saint_Barthélemy Gustavia
Saint_Helena Jamestown
Saint_Kitts_and_Nevis Basseterre
Saint_Lucia Castries
Saint_Martin Marigot
Saint_Pierre_and_Miquelon St._Pierre
Saint_Vincent_and_the_Grenadines Kingstown
Samoa Apia
San_Marino San_Marino
Saudi_Arabia Riyadh
Scotland Edinburgh
Senegal Dakar
Serbia Belgrade
Seychelles Victoria
Sierra_Leone Freetown
Singapore Singapore
Sint_Maarten Philipsburg
Slovakia Bratislava
Slovenia Ljubljana
Solomon_Islands Honiara
Somalia Mogadishu
Somaliland Hargeisa
South_Africa Pretoria
South_Georgia_and_the_South_Sandwich_Islands Grytviken
South_Korea Seoul
South_Ossetia Tskhinvali
South_Sudan_South_Sudan Juba
Spain Madrid
Sri_Lanka Sri_Jayawardenapura_Kotte
Sudan Khartoum
Suriname Paramaribo
Swaziland Mbabane
Sweden Stockholm
Switzerland Bern
Syria Damascus
São_Tomé_and_Príncipe São_Tomé
Tajikistan Dushanbe
Tanzania Dodoma
Thailand Bangkok
Togo Lomé
Tonga Nukuʻalofa
Transnistria Tiraspol
Trinidad_and_Tobago Port_of_Spain
Tristan_da_Cunha Edinburgh_of_the_Seven_Seas
Tunisia Tunis
Turkey Ankara
Turkmenistan Ashgabat
Turks_and_Caicos_Islands Cockburn_Town
Tuvalu Funafuti
Uganda Kampala
Ukraine Kiev
United_Arab_Emirates Abu_Dhabi
United_Kingdom;_England London
United_States Washington
United_States_Virgin_Islands Charlotte_Amalie
Uruguay Montevideo
Uzbekistan Tashkent
Vanuatu Port_Vila
Vatican_City Vatican_City
Venezuela Caracas
Vietnam Hanoi
Wales Cardiff
Wallis_and_Futuna Mata-Utu
Western_Sahara El_Aaiún
Yemen Sanaá
Zambia Lusaka
Zimbabwe Harare
